Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
APSRTC - 4482,NON AC Seater,22:00,02:55,04h 55m,427.0,5 Seats available,4.3,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad,APSRTC
APSRTC - 4537,NON AC Seater,22:05,03:10,05h 05m,427.0,5 Seats available,4.4,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad,APSRTC
APSRTC - 4553,NON AC Seater,22:15,03:25,05h 10m,427.0,1 Seat available,4.2,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad,APSRTC
APSRTC - 5816,NON AC Seater,22:40,03:25,04h 45m,435.0,6 Seats available,4.0,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,Narasaraopet to Hyderabad,APSRTC
APSRTC - 23532,NON AC Seater,16:00,20:35,04h 35m,281.0,30 Seats available,4.1,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada,APSRTC
APSRTC - 2201,NON AC Seater,16:30,21:00,04h 30m,281.0,34 Seats available,1.7,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada,APSRTC
APSRTC - 3353,NON AC Seater,16:40,20:20,03h 40m,281.0,32 Seats available,3.1,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada,Visakhapatnam to Kakinada,APSRTC
APSRTC - 52530,NON AC Seater,16:15,20:45,04h 30m,224.0,43 Seats available,3.0,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri,APSRTC
APSRTC - 52532,NON AC Seater,17:30,22:00,04h 30m,224.0,45 Seats available,2.3,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri,APSRTC
APSRTC - 52533,NON AC Seater,18:45,23:45,05h 00m,224.0,43 Seats available,3.0,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri,APSRTC
APSRTC - 6160,0,19:15,23:59,04h 44m,330.0,0,2.8,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri,APSRTC
0,0,0,0,0,0.0,0,0.0,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,Bangalore to Kadiri,APSRTC
