Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name,state
Milan Travels,A/C Seater / Sleeper (2+1),22:56,07:00,08h 04m,INR 762,42 Seats available,"4.5
13",https://www.redbus.in/bus-tickets/abu-road-to-bikaner,Abu Road to Bikaner,GSRTC
RSRTC - 189437,Express Non AC Seater 2+3,17:45,21:45,04h 00m,INR 215,42 Seats available,3.7,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur,GSRTC
RSRTC - 198916,Express Non AC Seater 2+3,20:50,01:10,04h 20m,INR 215,32 Seats available,3.7,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),21:00,00:50,03h 50m,INR 299,23 Seats available,"4.4
10",https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur,GSRTC
Mahaveer Travel Company,NON AC Seater / Sleeper 2+1,23:00,03:00,04h 00m,INR 550,22 Seats available,3.1,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur,GSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur,GSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur,GSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/sirohi-to-jodhpur,Sirohi (Rajasthan) to Jodhpur,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),17:00,10:30,17h 30m,INR 1099,36 Seats available,4.0,https://www.redbus.in/bus-tickets/mehsana-to-ganganagar,Mehsana to Ganganagar (Sri Ganganagar),GSRTC
RSRTC - 195462,Express Non AC Seater 2+3,22:01,17:00,18h 59m,INR 288,32 Seats available,4.2,https://www.redbus.in/bus-tickets/ahmedabad-to-sirohi,Ahmedabad to Sirohi (Rajasthan),GSRTC
RSRTC - 193351,Express Non AC Seater 2+3,23:15,04:30,05h 15m,INR 268,17 Seats available,"4.8
9",https://www.redbus.in/bus-tickets/ahmedabad-to-sirohi,Ahmedabad to Sirohi (Rajasthan),GSRTC
M R Travels,Volvo Multi Axle Sleeper B11R (2+1),22:20,04:15,05h 55m,INR 1020,7 Seats available,"4.8
23",https://www.redbus.in/bus-tickets/ahmedabad-to-sirohi,Ahmedabad to Sirohi (Rajasthan),GSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/ahmedabad-to-sirohi,Ahmedabad to Sirohi (Rajasthan),GSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/ahmedabad-to-sirohi,Ahmedabad to Sirohi (Rajasthan),GSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/ahmedabad-to-sirohi,Ahmedabad to Sirohi (Rajasthan),GSRTC
,,,,,,,,https://www.redbus.in/bus-tickets/ahmedabad-to-sirohi,Ahmedabad to Sirohi (Rajasthan),GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),18:30,09:30,15h 00m,INR 999,40 Seats available,"4.2
5",https://www.redbus.in/bus-tickets/palanpur-to-hanumangarh,Palanpur to Hanumangarh,GSRTC
Royal Karnavati Travels,A/C Seater / Sleeper (2+1),21:00,10:30,13h 30m,INR 999,39 Seats available,"5.0
5",https://www.redbus.in/bus-tickets/sirohi-to-ganganagar,Sirohi (Rajasthan) to Ganganagar (Sri Ganganagar),GSRTC
